69;1;кулыма,кулыңа,кулына
69;2;кулымарга,кулыңарга,кулынарга
69;7;nil
70;1;миңа,мина,миңә,мийа,мийә
70;2;маға,ма'а
70;6;миңа,миңә
70;7;миңға
70;8;м'аңа,мәңа,мыңа
70;10;мийа,мийә,миңә,минеңә
70;12;мийа,мийә,миңә,миңәргә,миңарға
70;14;миңа,миңә,миған
70;18;мәңа
71;1;шушы,шышы
71;2;тушы
71;7;шу
71;9;тушы,шушы
71;10;шул,у,шол,шол,шыл,шал
71;12;ул,бу
71;13;шушал
71;16;ул,ал,әл,у,бу,шул
71;19;ошто
71;20;ошо,ушы
72;1;nil
72;2;шал
73;1;nil
73;2;анау,монау
73;8;nil
74;1;nil
74;2;тәнә
78;1;дип,дийп
78;2;ди
78;8;nil
79;1;мый,мыйча,мыйца,май
79;2;мыйынча,мыйнча,мыйнца,мыйынца,минча,минца,минчы,минцы,майынча
79;6;майча,майца,майынчы,майынцы,мыйн
79;8;мыйчан,мыйцан
79;10;мыйчак,мицак
79;11;мый,бый,бийца,мийца,бийнца,мийнча,бийнча,мийнца
79;12;мап
79;20;майын,май,магынча,магынчы,магынца,магынцы
79;22;мачы,мача,мачыр,манчы
81;1;ганчы,ганчи
81;2;гынчы,гыйнчы,гиччы,'ынчы
81;3;гынчы,гынча
81;6;гынча,гыйнча,гинча,гинца
81;7;гынчы,ганча,ганчы
81;8;ганча
81;11;ганчык,гынчык
81;12;гынцы,гыгынца,гынынцы,гынынца,гынчы,гыгынча,гынынчы,гынынча 
82;1;гач
82;2;гачын,гачыннан
82;3;гачтан,гачыннан
82;6;гачтан,гачтын,гычтан
82;10;гацын,ганнан,гачын,ган
83;1;ганда
83;2;уwышлый,уwышлай
83;3;ышлый,ышлай,уwышлый,уwышлай
83;6;ышлый,ышлай
83;7;ганда,ышлый
83;10;ганында,ышынта,ышта
83;13;ганда,ганында
95;1;гала
95;2;гакла,'а'ла
95;3;гала,гакла,'а'ла
95;6;гыла
95;7;гакла,гала
95;8;гала,гакла
102;1;адыр
102;2;аты
102;3;ыр,адыр
102;10;nil
102;11;а
105;1;nil
105;2;гы иде,гыйде,гиде
105;3;гы иде,гай иде
105;7;гай иде
107;1;асы кил
107;2;гы кел
107;3;асы кел
107;7;гы кил
107;8;асы кел
109;1;лай,лый
109;2;nil
109;8;лай
109;10;лай,лайын,ләй,ләйен
109;12;лайын,ләйен
109;18;лый
115;1;nil
115;2;кышлыкта,йазлыкта,җазлыкта
115;6;кышын,йазын
115;7;кышлыгын,кышлыгында,йазлыгын,йазлыгында
115;10;кышкысын,кышкылыгын,кышны
115;12;кышны,йазны
115;13;кышкыта,кышкылык,кышын
115;15;кышта,йазда,җазда
116;1;да
116;2;дагын
116;7;nil
116;12;дада
117;1;nil
117;2;чәре,тәре
117;7;тәрән
117;12;шайы
